;date;serial_number;model;capacity_bytes;Throughput Performance;Spin-Up Time;Start/Stop Count;Reallocated Sectors Count;Seek Error Rate;Seek Time Performance;Power-On Hours;Spin Retry Count;Recalibration Retriesor Calibration Retry Count;Power Cycle Count;Soft Read Error Rate;smart_15;Current Helium Level;SATA Downshift Error Count or Runtime Bad Block;End-to-End error / IOEDC;Reported Uncorrectable Errors;Command Timeout;High Fly Writes;Temperature Difference or Airflow Temperature;G-sense Error Rate;Power-off Retract Count, Emergency Retract Cycle Count(Fujitsu)or Unsafe Shutdown Count;Load Cycle Count or Load/Unload Cycle Count (Fujitsu);Temperature or Temperature Celsius;Hardware ECC Recovered;Reallocation Event Count;Current Pending Sector Count;(Offline) Uncorrectable Sector Count;UltraDMA CRC Error Count;Write Error Rate(Fujitsu);Soft Read Error Rateor;Disk Shift;Loaded Hours;Load/Unload Retry Count;Load Friction;Load/Unload Cycle Count;Load In-time;Head Flying Hours or 'Transfer Error Rate'(Fujitsu);Total LBAs Written;Total LBAs Read;Read Error Retry Rate;Minimum Spares Remaining;Newly Added Bad Flash Block;Free Fall Protection;Read Error Rate
1;2016-12-25;W3015JSX;ST4000DM000;4,00079E+12;NA;92;100;100;75;NA;99;100;NA;100;NA;NA;NA;100;100;100;100;100;68;100;100;100;32;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;NA
2;2016-12-25;ZA10Q2F7;ST8000DM002;8,00156E+12;NA;96;100;100;86;NA;95;100;NA;100;NA;NA;NA;NA;100;100;100;100;69;100;100;100;31;1;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;70
3;2016-12-25;9VYC10JY;ST3160316AS;1,60042E+11;NA;97;100;100;87;NA;46;100;NA;100;NA;NA;NA;100;100;100;100;100;75;NA;NA;NA;25;61;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;NA
4;2016-12-25;Z304KBY0;ST4000DM000;4,00079E+12;NA;94;100;100;87;NA;88;100;NA;100;NA;NA;NA;100;100;100;100;100;74;100;100;98;26;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;15,59842504
5;2016-12-25;WD-WXU1E83UUNF8;WDC WD5000LPVX;5,00108E+11;NA;152;100;200;200;NA;68;100;100;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;200;115;113;NA;200;200;100;200;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;2016-12-25;WD-WMC4N2816989;WDC WD30EFRX;3,00059E+12;NA;181;100;200;100;NA;74;100;100;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;200;200;125;NA;200;200;100;200;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45,99184414
7;2016-12-25;Z30111PC;ST4000DM000;4,00079E+12;NA;91;100;100;80;NA;72;100;NA;100;NA;NA;NA;100;100;100;100;96;73;100;100;13;27;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;118
8;2016-12-25;Z303Z6S1;ST4000DM000;4,00079E+12;NA;96;100;100;77;NA;99;100;NA;100;NA;NA;NA;100;100;100;100;100;77;100;100;99;23;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;NA
9;2016-12-25;Z304EZL5;ST4000DM000;4,00079E+12;NA;92;100;100;78;NA;98;100;NA;100;NA;NA;NA;100;100;100;100;100;78;100;100;100;22;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;NA
10;2016-12-25;W301D5NF;ST4000DM000;4,00079E+12;NA;92;100;100;75;NA;99;100;NA;100;NA;NA;NA;100;100;100;100;100;68;100;100;100;32;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;NA
11;2016-12-25;S300Z3ZL;ST4000DM000;4,00079E+12;NA;95;100;100;87;NA;86;100;NA;100;NA;NA;NA;100;100;100;100;100;77;100;100;77;23;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;117
12;2016-12-25;WD-WCC4N3NZ451J;WDC WD30EFRX;3,00059E+12;NA;185;100;200;200;NA;100;100;100;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;200;200;122;NA;200;200;100;200;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;161
13;2016-12-25;Z302BMWF;ST4000DM000;4,00079E+12;NA;97;100;100;79;NA;98;100;NA;100;NA;NA;NA;100;100;100;100;100;76;100;100;98;24;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;NA
14;2016-12-25;Z300GYMW;ST4000DM000;4,00079E+12;NA;92;100;100;90;NA;67;100;NA;100;NA;NA;NA;100;100;100;100;99;76;100;100;95;24;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;18,74454546
15;2016-12-25;Z3014A8C;ST4000DM000;4,00079E+12;NA;91;100;100;88;NA;71;100;NA;100;NA;NA;NA;100;100;100;100;79;76;100;100;87;24;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;117
16;2016-12-25;Z3029ZHR;ST4000DM000;4,00079E+12;NA;96;100;100;74;NA;99;100;NA;100;NA;NA;NA;100;100;100;100;100;70;100;100;100;30;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;NA
17;2016-12-25;Z1Z03G2H;ST4000DX000;4,00079E+12;NA;90;100;100;87;NA;62;100;NA;100;NA;NA;NA;100;100;100;100;100;73;100;100;100;27;27;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;118
18;2016-12-25;Z3041LKP;ST4000DM000;4,00079E+12;NA;93;100;100;78;NA;98;100;NA;100;NA;NA;NA;100;100;100;100;100;73;100;100;100;27;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;NA
19;2016-12-25;ZA10QN09;ST8000DM002;8,00156E+12;NA;98;100;100;89;NA;95;100;NA;100;NA;NA;NA;NA;100;100;100;100;62;97;100;100;38;1;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;83
20;2016-12-25;S2ZYJ9GF302353;ST500LM012 HN;5,00108E+11;252;93;100;252;252;252;100;252;100;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;252;252;NA;64;100;252;252;252;200;100;NA;NA;NA;100;NA;81;NA;NA;NA;NA;NA;NA;NA;NA;NA
21;2016-12-25;PL1331LAHD0JSH;HGST HMS5C4040BLE640;4,00079E+12;134;156;100;100;100;111;100;100;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;100;206;NA;100;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
22;2016-12-25;MJ0351YNGA62NA;Hitachi HDS5C3030ALA630;3,00059E+12;135;126;100;100;100;122;95;100;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;100;230;NA;100;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;85
23;2016-12-25;Z302A0Z1;ST4000DM000;4,00079E+12;NA;92;100;100;89;NA;82;100;NA;100;NA;NA;NA;100;100;100;100;100;74;100;100;96;26;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;117
24;2016-12-25;S301LJ5G;ST4000DM000;4,00079E+12;NA;95;100;100;84;NA;93;100;NA;100;NA;NA;NA;100;100;100;100;100;69;100;100;97;31;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;120
25;2016-12-25;Z300ZR58;ST4000DM000;4,00079E+12;NA;91;100;100;73;NA;72;100;NA;100;NA;NA;NA;99;100;99;100;82;75;100;100;92;25;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;119
26;2016-12-25;Z300ZV0C;ST4000DM000;4,00079E+12;NA;95;100;100;87;NA;84;100;NA;100;NA;NA;NA;100;100;100;100;100;79;100;100;89;21;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;103
27;2016-12-25;ZA12PTR5;ST8000DM002;8,00156E+12;NA;99;100;100;87;NA;98;100;NA;100;NA;NA;NA;NA;100;100;100;100;56;100;100;100;44;1;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;36,09346326
28;2016-12-25;Z305D4X6;ST4000DM000;4,00079E+12;NA;96;100;100;84;NA;92;100;NA;100;NA;NA;NA;100;100;100;100;100;72;100;100;96;28;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;118
29;2016-12-25;Z302EPA7;ST4000DM000;4,00079E+12;NA;93;100;100;75;NA;99;100;NA;100;NA;NA;NA;100;100;100;100;100;76;100;100;93;24;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;NA
30;2016-12-25;W300D55C;ST4000DM000;4,00079E+12;NA;91;100;100;78;NA;65;100;NA;100;NA;NA;NA;100;100;96;100;99;74;100;100;87;26;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;110
31;2016-12-26;W3015JSX;ST4000DM000;4,00079E+12;NA;92;100;100;75;NA;99;100;NA;100;NA;NA;NA;100;100;100;100;100;68;100;100;100;32;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;NA
32;2016-12-26;ZA10Q2F7;ST8000DM002;8,00156E+12;NA;96;100;100;86;NA;95;100;NA;100;NA;NA;NA;NA;100;100;100;100;69;100;100;100;31;1;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;71
33;2016-12-26;9VYC10JY;ST3160316AS;1,60042E+11;NA;97;100;100;87;NA;46;100;NA;100;NA;NA;NA;100;100;100;100;100;76;NA;NA;NA;24;62;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;NA
34;2016-12-26;Z304KBY0;ST4000DM000;4,00079E+12;NA;94;100;100;87;NA;88;100;NA;100;NA;NA;NA;98;100;22;100;100;74;100;100;98;26;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;154,0970683
35;2016-12-26;WD-WXU1E83UUNF8;WDC WD5000LPVX;5,00108E+11;NA;152;100;200;200;NA;68;100;100;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;200;115;113;NA;200;200;100;200;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
